school,location.elevation,location.city,location.state
Misericordia,,,
Mississippi College,,,
Mississippi Gulf Coast C.C.,,,
Mississippi State,110.2742081,Starkville,MS
Mississippi Valley State,,,
Missouri,212.6865692,Columbia,MO
Missouri Baptist,,,
Missouri Southern State,,,
Missouri S&T,,,
Missouri State,402.368103,Springfield,MO
Missouri Western,,,
Missouri Western State,,,
Monmouth,9.979202271,West Long Branch,NJ
Monmouth (IL),,,
Montana,970.345459,Missoula,MT
Montana State,1507.508667,Bozeman,MT
Montana-Western,,,
Montclair State,,,
Monterrey Tech,,,
Moravian,,,
Morehead State,,,
Morehouse,,,
Morgan State,67.05336761,Baltimore,MD
Morningside,,,
Morrisville State,,,
Mount Ida College,,,
Mount St. Joseph,,,
Mount Union,,,
Muhlenberg,,,
Murray State,152.6495667,Murray,KY
Muskingum,,,
Navy,10.74990082,Annapolis,MD
NC State,117.0089951,Raleigh,NC
NC Wesleyan,,,
Nebraska,354.9318848,Lincoln,NE
Nebraska-Kearney,,,
Nebraska-Omaha,,,
Nevada,1406.57605,Reno,NV
Newberry,,,
New Hampshire,19.05943298,Durham,NH
New Haven,,,
New Mexico,1554.471924,Albuquerque,NM
New Mexico Highlands,,,
New Mexico Military Institute,,,
New Mexico State,1208.201294,Las Cruces,NM
Nicholls,3.23726368,Thibodaux,LA
Nichols,,,
Norfolk State,4.916433334,Norfolk,VA
North Alabama,,,
North Carolina,127.7569809,Chapel Hill,NC
North Carolina A&T,235.1224518,Greensboro,NC
North Carolina Central,96.73323059,Durham,NC
North Central,,,
North Dakota,255.2472076,Grand Forks,ND
North Dakota State,,,
Northeastern State,,,
Northern Arizona,2097.884766,Flagstaff,AZ
Northern Colorado,1455.349976,Greeley,CO
Northern Illinois,267.4530029,DeKalb,IL
Northern Iowa,281.8959656,Cedar Falls,IA
Northern Michigan,,,
Northern State,,,
North Greenville,,,
North Park,,,
North Texas,198.6871948,Denton,TX
Northwestern,181.2376099,Evanston,IL
Northwestern (MN),,,
Northwestern Oklahoma State,,,
Northwestern State,36.58879089,Natchitoches,LA
Northwest Missouri State,,,
Northwood (MI),,,
Norwich,,,
Notre Dame,222.645401,Notre Dame,IN
Notre Dame College,,,
Oberlin,,,
Occidental,,,
Ohio,194.230896,Athens,OH
Ohio Dominican,,,
Ohio Midwestern College,,,
Ohio Northern,,,
Ohio State,216.6770325,Columbus,OH
Ohio State Newark,,,
Ohio Wesleyan,,,
Oklahoma,355.0962524,Norman,OK
Oklahoma Baptist,,,
Oklahoma State,276.4808655,Stillwater,OK
OK Panhandle St,,,
Old Dominion,3.147987843,Norfolk,VA
Ole Miss,146.8517151,Oxford,MS
Olivet College,,,
Oregon,127.4198303,Eugene,OR
Oregon State,66.90744781,Corvallis,OR
Otterbein,,,
Ouachita Baptist,,,
Pace,,,
Pacific Lutheran,,,
Pacific (OR),,,
Penn State,354.1551514,University Park,PA
Pennsylvania,,,
Pikeville,,,
Pittsburgh,220.5887146,Pittsburgh,PA
Pittsburg State,,,
Plymouth State,,,
Point University,,,
Pomona-Pitzer,,,
Portland State,,,
Prairie View,78.4,Prairie View,TX
Presbyterian College,,,
Presentation College,,,
Princeton,,,
Principia College,,,
Professional,,,
Professional,,,
Puget Sound,,,
Purdue,197.5337677,West Lafayette,IN
Quincy,,,
Randolph-Macon,,,
Redlands,,,
Reinhardt,,,
Rensselaer,,,
Rhode Island,32.68801498,Kingston,RI
Rhodes,,,
Rice,7.148301601,Houston,TX
Richmond,,,
Ripon,,,
Robert Morris,,,
Robert Morris (IL),,,
Rochester,,,
Rockford,,,
Rose-Hulman,,,
Rowan,,,
Rutgers,8.543146133,Piscataway,NJ
Sacramento State,12.30015659,Sacramento,CA
Sacred Heart,,,
Saginaw Valley,,,
Salisbury,,,
Salve Regina,,,
Samford,208.0207825,Homewood,AL
Sam Houston State,,,
San Diego,,,
San Diego State,16.28476334,San Diego,CA
San José State,28.30708694,San Jose,CA
Santa Rosa J.C.,,,
Savannah State,,,
Seton Hill College,,,
Sewanee Univ. of the South,,,
Shaw,,,
Shenandoah,,,
Shepherd,,,
Shepherd Tech,,,
Shippensburg,,,
Siena Heights,,,
Simon Fraser,,,
Simpson College,,,
Slippery Rock,,,
SMU,169.4058075,University Park,TX
Snow College,,,
South Alabama,9.828813553,Mobile,AL
South Carolina,60.54548645,Columbia,SC
South Carolina State,67.29846191,Orangeburg,SC
South Dakota,373.3928833,Vermillion,SD
South Dakota Mines,,,
South Dakota State,495.8,Brookings,SD
Southeastern Louisiana,13.7104578,Hammond,LA
Southeastern Oklahoma,,,
Southeastern University,,,
Southeast Missouri State,137.7152405,Cape Girardeau,MO
Southern,20.24213219,Baton Rouge,LA
Southern Arkansas,,,
Southern Connecticut State,,,
Southern Illinois,,,
Southern Mississippi,64.52726746,Hattiesburg,MS
Southern Nazarene,,,
Southern Oregon,,,
Southern Utah,1763.97644,Cedar City,UT
Southern Virginia,,,
South Florida,11.07972908,Tampa,FL
Southwest Baptist,,,
Southwestern Assemblies of God,,,
Southwestern College,,,
Southwestern Oklahoma,,,
Southwest Minnesota State,,,
Springfield,,,
St. Ambrose,,,
Stanford,18.38425636,Stanford,CA
St. Anselm,,,
St. Augustine's,,,
St. Cloud State,,,
Stephen F. Austin,89.99433899,Nacogdoches,TX
Sterling College,,,
Stetson,,,
Stevenson,,,
St. Francis (IL),,,
St. Francis (IN),,,
St Francis (PA),,,
St. John Fisher,,,
St. Johns (MN),,,
St Lawrence,,,
St. Norbert,,,
St. Olaf College,,,
Stonehill,,,
Stony Brook,32.63183975,Stony Brook,NY
St. Paul's College,,,
St. Peter's,,,
St. Scholastica,,,
St. Thomas (MN),,,
St. Vincent,,,
St. Xavier (IL),,,
Sul Ross State,,,
SUNY Cortland,,,
SUNY Maritime,,,
Susquehanna,,,
Syracuse,162.6989746,Syracuse,NY
Tarleton State,,,
TCU,185.4387054,Fort Worth,TX
Temple,3.198706865,Philadelphia,PA
Tennessee,271.9517212,Knoxville,TN
Tennessee State,121.0412598,Nashville,TN
Tennessee Tech,340.8609314,Cookeville,TN
Texas,160.3089447,Austin,TX
Texas A&M,108.824585,College Station,TX
Texas A&M Commerce,,,
Texas A&M Commerce,,,
Texas A&M-Commerce,,,
Texas A&M-Kingsville,,,
Texas College,,,
Texas Lutheran,,,
Texas-Permian Basin,,,
Texas Southern,,,
Texas State,177.8676453,San Marcos,TX
Texas Tech,980.7632446,Lubbock,TX
The Citadel,4.137742996,Charleston,SC
Thomas More,,,
Tiffin,,,
Tiffin University,,,
Toledo,181.4839783,Toledo,OH
Towson,117.6974106,Towson,MD
Trine,,,
Trinity Bible,,,
Trinity (CT),,,
Trinity (IL),,,
Trinity (TX),,,
Troy,154.7746277,Troy,AL
Truman State,,,
Tufts,,,
Tulane,0.0000000000000000000000000000000000000118,New Orleans,LA
Tulsa,235.5928345,Tulsa,OK
Tusculum,,,
Tuskegee,,,
UAB,174.6382141,Birmingham,AL
UC Davis,11.3825922,Davis,CA
UCF,20.94113731,Orlando,FL
UCLA,245.1772461,Pasadena,CA
UMass,46.58664703,Hadley,MA
UMass Dartmouth,,,
UMass Lowell,,,
UNC Pembroke,,,
Union,,,
University of Faith,,,
UNLV,490.0622253,Whitney,NV
Upper Iowa,,,
Urbana,,,
Ursinus,,,
USC,42.50374222,Los Angeles,CA
Utah,1411.543579,Salt Lake City,UT
Utah State,1427.914429,Logan,UT
UTEP,1183.697876,El Paso,TX
Utica,,,
UT Martin,124.6879349,Martin,TN
UT San Antonio,201.5526886,San Antonio,TX
UVA-Wise,,,
UW-Oshkosh,,,
UW-River Falls,,,
UW-Stout,,,
UW-Whitewater,,,
Valdosta State,,,
Valley City State,,,
Valparaiso,,,
Vanderbilt,159.9194641,Nashville,TN
Villanova,127.3836746,Villanova,PA
Virginia,170.4677429,Charlottesville,VA
Virginia State,,,
Virginia Tech,632.2631226,Blacksburg,VA
VMI,294.958252,Lexington,VA
Wabash College,,,
Wagner,63.39014053,Staten Island,NY
Wake Forest,283.548584,Winston-Salem,NC
Waldorf,,,
Walsh,,,
Warner,,,
Wartburg,,,
Washburn,,,
Washington,11.65622807,Seattle,WA
Washington & Jefferson,,,
Washington & Lee,,,
Washington (MO),,,
Washington State,773.9526367,Pullman,WA
Wayland Baptist,,,
Waynesburg,,,
Wayne State (MI),,,
Wayne State (NE),,,
Webber International,,,
Weber State,1451.553711,Ogden,UT
Wesleyan,,,
Wesley College,,,
West Alabama,,,
West Chester,,,
Western Carolina,653.8632813,Cullowhee,NC
Western Connecticut State,,,
Western Illinois,192.8755646,Macomb,IL
Western Kentucky,154.4346619,Bowling Green,KY
Western Michigan,243.8211212,Kalamazoo,MI
Western New England,,,
Western New Mexico,,,
Western Oregon,,,
Western State,,,
Western Washington,,,
Westfield State,,,
West Florida,,,
West Georgia,,,
West Liberty,,,
Westminster,,,
Westminster PA,,,
West Texas A&M,,,
West Virginia,327.409668,Morgantown,WV
West Virginia Tech,,,
Wheaton College (Ill),,,
Whittier,,,
Whitworth,,,
Widener,,,
Wilkes,,,
Willamette,,,
William Jewell College,,,
William & Mary,26.07615852,Williamsburg,VA
William Paterson,,,
William Penn,,,
Williams,,,
Williamson Trade,,,
Wilmington (OH),,,
Wingate,,,
Winona State,,,
Winston-Salem,,,
Winston-Salem State,,,
Wisconsin,263.604126,Madison,WI
Wisconsin-Eau Claire,,,
Wisconsin-La Crosse,,,
Wisconsin Lutheran,,,
Wisconsin-Platteville,,,
Wisconsin-Stevens Point,,,
Wittenberg,,,
Wofford,231.6300049,Spartanburg,SC
Wooster,,,
Worcester Polytechnic,,,
Worcester State College,,,
Wright State University,,,
WV State,,,
WV Wesleyan,,,
Wyoming,2200.153564,Laramie,WY
Yale,5.302621841,New Haven,CT
Youngstown State,298.8893127,Youngstown,OH
10th District A.C.,,,
111th Ambulance,,,
11th Cavalry,,,
1st Infantry,,,
1st Texas Artillery,,,
20th Infantry,,,
260th Coast Artillery,,,
26th Infantry,,,
2nd Developmemt Regiment,,,
2nd Texas 132nd Infantry,,,
362nd Infantry,,,
3rd Army Corps,,,
47th Infantry,,,
48th Infantry,,,
7th Infantry,,,
9th Amry Corps,,,
Abilene Field,,,
Active Football Club,,,
Actual Business College,,,
Adelbert,,,
Adelphi,,,
Alabama Medical,,,
Alabama Presbyterian,,,
Alabama Southern,,,
Alameda Coast Guard,,,
Alameda NAS,,,
Albertson,,,
Albuquerque Field,,,
Alliance,,,
Alma,,,
Altoona A.C.,,,
Alverno College,,,
Amarillo Field,,,
American,,,
American Legion,,,
American Medical,,,
American Osteopath,,,
Amherst YMCA,,,
Anaconda Anodes,,,
Anderson,,,
Andover,,,
Arizona All-Stars,,,
Armour,,,
Army Ambulance Corps,,,
Athens,,,
Athens A.C.,,,
Atlantic Christian,,,
Atlantic City NAS,,,
Augusta Military Academy,,,
Augustana (South Dakota),,,
Austin,,,
Austin High,,,
Australia,,,
Bailey Military,,,
Bainbridge NTS,,,
Baker,,,
Balboa NTS,,,
Ballard Meteors,,,
Baltimore,,,
Baltimore A.C.,,,
Bankers A.C.,,,
Barksdale Field,,,
Barnes Medical,,,
Barron Field,,,
Beaumont Hospital,,,
Belhaven College,,,
Bellefonte Academy,,,
Bellevue,,,
Belmont A.C.,,,
Beloit High,,,
Benedict,,,
Bennett Medical,,,
Berg Field,,,
Bergstrom Field,,,
Berkeley A.C.,,,
Bethany (Kansas),,,
Bethany (West Virginia),,,
Bethel,,,
Bingham,,,
Birmingham,,,
Birmingham High,,,
Bishop,,,
Blackland Field,,,
Blountsville Agricultural,,,
Bogue Field,,,
Bolling Field,,,
Boston A.C.,,,
Boston English High,,,
Boston Latin High,,,
Boston University,,,
Boulder High,,,
Bowie State,,,
Bradford National Guard,,,
Bradley,,,
Brandeis,,,
Brayton,,,
Bremerton Navy,,,
Bridgewater,,,
Britannia,,,
British Club of New York,,,
Broaddus College,,,
Brooklyn,,,
Brooklyn Polytechnic Institute,,,
Brooklyn Tigers (NFL),,,
Bryan Field,,,
Bryson,,,
Buckner Business College,,,
Bunker Hill Navy,,,
Burleson,,,
Burlingame A.C.,,,
Butler YMCA,,,
Butte A.C.,,,
California Alumni,,,
California (Pennsylvania),,,
California-Riverside,,,
California-Santa Barbara,,,
California Tech,,,
Cal Poly-Pomona,,,
Cal State Fullerton,,,
Cal State Los Angeles,,,
Cal State Northridge,,,
Cameron,,,
Camp Adams,,,
Camp Baker,,,
Camp Beale,,,
Camp Blanding,,,
Camp Davis,,,
Camp Devens,,,
Camp Dodge,,,
Camp Doniphan,,,
Campello,,,
Camp Funston,,,
Camp Gordon,,,
Camp Grant,,,
Camp Greene,,,
Camp Greenleaf,,,
Camp Griffin,,,
Camp Haan,,,
Camp Hancock,,,
Camp Harrison,,,
Camp Hood,,,
Camp Humphreys,,,
Camp Kilmer,,,
Camp Lee,,,
Camp Lejeune,,,
Camp Logan,,,
Camp Lyons,,,
Camp Mabry,,,
Camp MacAurthur,,,
Camp MacDowell,,,
Camp Mackall,,,
Camp McClelland,,,
Camp McKinley,,,
Camp McPherson,,,
Camp Meyer,,,
Camp Peary,,,
Camp Pendleton,,,
Camp Perry,,,
Camp Pickett,,,
Camp Pike,,,
Camp Polk,,,
Camp Preble,,,
Camp Russell,,,
Camp Sevier,,,
Camp Shelby,,,
Camp Sherman,,,
Camp Taylor,,,
Camp Travis,,,
Camp Wadsworth,,,
Canada All-Stars,,,
Canisius,,,
Canton A.C.,,,
Carleton-St. Olaf,,,
Carlisle,,,
Carlstrom Field,,,
Carroll (Montana),,,
Carroll (Wisconsin),,,
Carruthers Field,,,
Carswell AFB,,,
Casa Blanca Indians,,,
Case,,,
Castle Heights,,,
Catawba College,,,
Catholic,,,
Centenary (LA),,,
Centerville (Butte),,,
Central Academy,,,
Central (Iowa),,,
Central (Kentucky),,,
Central Missouri,,,
Chamberlain Hunt,,,
Chanute Field,,,
Charles City,,,
Charleston,,,
Charleston Coast Guard,,,
Charleston Navy,,,
Chatham Field,,,
Chemawa,,,
Cherry Point Marines,,,
Cheyenne High,,,
Chicago A.C.,,,
Chicago Alumni,,,
Chicago College,,,
Chicago Dental,,,
Chicago Dining Club,,,
Chicago Medical,,,
Chicago Naval Reserve,,,
Chicago YMCA,,,
Chick Springs Military,,,
Chilocco,,,
Chowan,,,
Christian Brothers,,,
City College of New York,,,
Clarke Memorial,,,
Clarkson,,,
Clemson Freshmen,,,
Cleveland Naval Reserves,,,
C.M.T.S.,,,
College All-Stars,,,
Colorado Alumni,,,
Colorado College Alumni,,,
Colorado Springs Field,,,
Colorado Springs High,,,
Colorado State Freshmen,,,
Columbia A.C.,,,
Columbia Alumni,,,
Columbia College,,,
Columbia Law,,,
Columbia (Oregon),,,
Columbia YMCA,,,
Company I,,,
Concordia Canada,,,
Concordia College (MN),,,
Connecticut Literary,,,
Connecticut-Waterbury,,,
Conway Hall,,,
Corpus Christi NAS,,,
Cortland State,,,
Cotton City A.C.,,,
Crane J.C.,,,
Creighton,,,
Crescent A.C.,,,
Culver,,,
Curtis Bay Coast Guard,,,
Dalhart Field,,,
Dallas,,,
Daniel Baker,,,
Daniel Field,,,
Davis & Elkins,,,
Dean Academy,,,
Decatur Baptist,,,
Del Monte Pre-Flight,,,
Denver,,,
Denver A.C.,,,
Denver Alumni,,,
Denver Freshmen,,,
Denver Manual High,,,
DePaul,,,
Des Moines,,,
Des Moines Baptist,,,
Detroit A.C.,,,
Detroit Mercy,,,
Dickinson Seminary,,,
Dixie,,,
Dixie State,,,
Dixon,,,
Doane,,,
Drake Alumni,,,
Drexel,,,
Drury,,,
Duquesne A.C.,,,
East Central Oklahoma,,,
East Denver High,,,
East Des Moines High,,,
Eastern Arizona J.C.,,,
Eastern (Virginia),,,
Edmond Tech,,,
Edmonton Field,,,
Edward Waters,,,
Elgin Academy,,,
Elizabeth A.C.,,,
Ellensburg,,,
Ellington Field,,,
Ellsworth,,,
El Paso National Guard,,,
El Toro Marines,,,
Emporia College,,,
Englewood,,,
Englewood High,,,
Englewood YMCA,,,
Erskine,,,
Eton,,,
Eureka,,,
Evanston High,,,
Evansville,,,
Exeter,,,
F.A.A.,,,
Fall River,,,
Falls of Schuylkill,,,
Farragut Navy,,,
Finlandia University,,,
Fishburne M.A.,,,
Fisk University,,,
Fitchburg YMCA,,,
Fleet City,,,
Florence YMCA,,,
Florida Intl,,,
Florida Southern,,,
Fort Benning,,,
Fort Bliss,,,
Fort Bragg,,,
Fort Des Moines,,,
Fort Douglas,,,
Fort Ethan Allen,,,
Fort Jackson,,,
Fort Knox,,,
Fort Leavenworth,,,
Fort Lewis College,,,
Fort Monmouth,,,
Fort Monroe,,,
Fort Oglethorpe,,,
Fort Ord,,,
Fort Pierce,,,
Fort Riley,,,
Fort Sheridan,,,
Fort Totten,,,
Fort Warren,,,
Fort Worth,,,
Foundation,,,
Frederick,,,
Freeport High,,,
Fremont Ammuntion,,,
Fresno State JV,,,
Friends,,,
Galveston Field,,,
Garden City,,,
Geneva,,,
Georgetown (Kentucky),,,
Georgetown (KY),,,
George Washington,,,
Georgia B,,,
Georgia Medical,,,
Georgia Pre-Flight,,,
Georgia Tech B,,,
Goat Island Navy,,,
Golden High,,,
Gonzaga,,,
Gonzaga Alumni,,,
Gordon,,,
Goshen,,,
Grand Island,,,
Grand Rapids High,,,
Granite High,,,
Great Lakes Navy,,,
Greenfield,,,
Greensboro Field,,,
Greenville Field,,,
Greer,,,
Grinnell Alumni,,,
Grinnell High,,,
Grove City,,,
